Name,Matches,Inns,Not Out,Runs,HS,Ave,SRate,100,50,Ct,St
KA Pollard (Lond),6,5,4,113,34*,113,166.17,0,0,3,
L Gregory (Trent),9,8,7,100,35*,100,169.49,0,0,2,
TA Lammonby (Manc),4,3,2,60,26*,60,162.16,0,0,3,
DJ Malan (Trent),9,9,2,377,98*,53.85,166.81,0,4,1,
RE van der Merwe (North),5,2,1,45,30  ,45,136.36,0,0,3,
TW Hartley (Manc),10,3,2,44,17*,44,112.82,0,0,7,
WG Jacks (Oval),7,7,1,261,108*,43.5,171.71,1,2,4,
C Munro (Trent),9,8,3,206,67*,41.2,168.85,0,1,4,
JC Buttler (Manc),5,5,0,203,68  ,40.6,149.26,0,2,3,
PR Stirling (South),3,3,1,79,74*,39.5,151.92,0,1,1,
MJJ Critchley (Welsh),5,5,2,118,55*,39.33,153.24,0,1,0,
PD Salt (Manc),10,10,1,353,70*,39.22,152.81,0,3,3,2
GJ Maxwell (Lond),4,4,1,116,43*,38.66,150.64,0,0,4,
JM Cox (Oval),8,6,1,191,61*,38.2,143.6,0,1,4,
TK Curran (Oval),8,6,3,114,30  ,38,223.52,0,0,4,
A Lyth (North),8,8,0,299,79  ,37.37,175.88,0,3,1,
AD Russell (Manc),6,6,2,148,64*,37,168.18,0,1,5,
RS Bopara (Lond),4,4,1,107,45  ,35.66,184.48,0,0,1,
DR Sams (Trent),9,5,2,105,55*,35,190.9,0,1,3,
LS Livingstone (Birm),6,6,1,173,51*,34.6,145.37,0,1,0,
R Ahmed (South),5,2,1,34,33  ,34,113.33,0,0,0,
DR Briggs (Oval),5,3,2,32,29*,32,213.33,0,0,0,
BM Duckett (Welsh),8,8,1,220,64*,31.42,135.8,0,1,3,
BR McDermott (Lond),5,5,0,157,59  ,31.4,133.05,0,1,1,
AJ Hose (North),8,7,1,182,59  ,30.33,159.64,0,2,0,
JL du Plooy (Welsh),4,4,1,90,37  ,30,145.16,0,0,0,
MS Wade (Birm),7,7,1,174,81  ,29,156.75,0,1,2,
AD Hales (Trent),9,9,0,259,59  ,28.77,152.35,0,2,5,
SM Curran (Oval),8,8,1,192,60  ,27.42,132.41,0,1,4,
Z Crawley (Lond),5,5,0,131,41  ,26.2,120.18,0,0,4,
A Zampa (Welsh),4,3,2,26,14*,26,108.33,0,0,1,
IA Cockbain (Trent),2,2,1,26,20*,26,108.33,0,0,0,
AL Davies (South),8,7,1,155,51*,25.83,119.23,0,1,5,
WCF Smeed (Birm),8,8,1,179,101*,25.57,172.11,1,0,3,
D Wiese (North),7,7,1,150,50  ,25,182.92,0,1,1,
RA Whiteley (South),8,6,0,150,52  ,25,142.85,0,1,5,
AJ Turner (Manc),5,4,1,75,26  ,25,170.45,0,0,3,
LJ Evans (Manc),10,9,2,172,72  ,24.57,184.94,0,1,2,
DJ Bell-Drummond (Lond),4,4,0,97,46  ,24.25,142.64,0,0,1,
SP Narine (Oval),6,5,3,48,23  ,24,120,0,0,1,
D Pretorius (Welsh),5,4,1,71,29  ,23.66,177.5,0,0,3,
JM Vince (South),8,7,1,136,71*,22.66,154.54,0,1,8,
WL Madsen (Manc),10,9,2,157,53*,22.42,121.7,0,1,3,
CJ Jordan (South),3,2,1,22,15  ,22,183.33,0,0,0,
MM Ali (Birm),8,8,0,172,52  ,21.5,157.79,0,1,2,
HC Brook (North),6,6,2,85,33*,21.25,139.34,0,0,7,
HWR Cartwright (Oval),5,4,1,62,42  ,20.66,131.91,0,0,6,
