Name,Matches,Inns,Not Out,Runs,HS,Ave,SRate,100,50,Ct,St
DJ Vilas (La),16,16,3,444,63*,34.15,159.13,0,3,7,
JL du Plooy (Dy),15,14,4,340,59*,34,147.18,0,2,7,
GD Phillips (Gs),13,12,2,340,66  ,34,135.45,0,4,7,
TB Abell (Sm),16,15,3,400,70  ,33.33,136.98,0,2,7,
SS Eskinazi (Mx),14,14,1,431,87  ,33.15,151.76,0,2,5,
JL Denly (Kent),13,13,0,423,110  ,32.53,123.32,1,1,5,
JK Fuller (Ham),17,14,5,290,45  ,32.22,149.48,0,0,5,
WG Jacks (Sy),15,15,1,449,76  ,32.07,142.08,0,5,8,
JJ Cobb (Nr),14,11,1,318,70  ,31.8,153.62,0,4,11,
DW Lawrence (Es),5,5,0,157,71  ,31.4,153.92,0,2,2,
JJ Roy (Sy),9,9,0,281,81  ,31.22,157.86,0,3,8,
BAC Howell (Gs),13,11,6,156,46  ,31.2,179.31,0,0,7,
MJJ Critchley (Es),10,10,2,248,60  ,31,139.32,0,1,4,
GJ Bell (La),1,1,0,31,31  ,31,114.81,0,0,0,
CN Ackermann (Le),14,13,1,367,85  ,30.58,133.94,0,3,7,
CA Ingram (Gm),8,7,2,152,57  ,30.4,134.51,0,1,4,
JA Tattersall (Yor),7,4,2,60,48*,30,130.43,0,0,5,
EN Gay (Nr),2,1,0,30,30  ,30,157.89,0,0,0,
TJ Moores (Nt),14,14,5,266,47  ,29.55,143.78,0,0,10,3
SM Curran (Sy),8,8,0,236,69  ,29.5,146.58,0,2,5,
JA Haynes (Wo),9,9,1,235,61  ,29.37,146.87,0,2,2,
DJ Malan (Yor),9,9,1,234,50  ,29.25,136.84,0,2,7,
BR McDermott (Ham),17,17,0,494,83  ,29.05,146.15,0,5,16,3
AJ Tye (Dur),10,4,3,29,13*,29,161.11,0,0,3,
TH David (La),17,17,3,405,66  ,28.92,174.56,0,2,15,
JM Cox (Kent),14,13,0,365,94  ,28.07,133.21,0,2,7,1
Kashif Ali (Wo),7,6,1,140,46*,28,112.9,0,0,2,
PD Salt (La),14,14,0,390,59  ,27.85,147.16,0,1,4,3
TE Albert (Ham),9,7,4,83,24*,27.66,123.88,0,0,3,
JE Root (Yor),3,3,1,55,35*,27.5,122.22,0,0,1,
JJ Weatherley (Ham),16,15,2,356,47  ,27.38,129.92,0,0,12,
LS Livingstone (La),7,6,0,164,75  ,27.33,137.81,0,1,2,
GF Linde (Kent),13,13,5,218,38*,27.25,151.38,0,0,3,
WCF Smeed (Sm),16,16,1,407,98  ,27.13,158.36,0,3,6,
JR Bracey (Gs),13,11,0,298,70  ,27.09,125.73,0,2,11,2
TJ Haines (Sx),1,1,0,27,27  ,27,135,0,0,0,
C Munro (Wo),13,12,0,323,66  ,26.91,132.92,0,2,6,
T Westley (Es),14,9,2,188,54  ,26.85,127.89,0,2,3,
AD Hales (Nt),14,14,0,374,91  ,26.71,193.78,0,3,7,
EJH Eckersley (Dur),14,13,5,213,46  ,26.62,139.21,0,0,5,
MA Jones (Dur),14,13,1,319,44  ,26.58,140.52,0,0,4,
JMR Taylor (Gs),13,12,3,239,46  ,26.55,131.31,0,0,6,
FIN Khushi (Es),6,6,0,152,67  ,25.33,120.63,0,1,1,
SW Billings (Kent),12,12,2,253,48*,25.3,117.12,0,0,6,1
CJ Green (Mx),14,12,5,177,46*,25.28,147.5,0,0,11,
RJ Burns (Sy),5,5,1,101,37  ,25.25,112.22,0,0,1,
AJ Blake (Kent),11,11,1,252,50*,25.2,145.66,0,1,5,
PWA Mulder (Le),6,5,0,125,54  ,25,138.88,0,1,6,
CJ Jordan (Sy),14,10,3,173,73  ,24.71,160.18,0,1,7,
DT Christian (Nt),13,11,3,196,56  ,24.5,130.66,0,1,10,
S Steel (Le),8,8,0,196,72  ,24.5,124.05,0,2,2,
AM Lilley (Le),14,14,1,316,68*,24.3,146.29,0,2,3,
TJ Prest (Ham),14,14,1,316,64  ,24.3,122.48,0,3,3,
CDJ Dent (Gs),5,4,0,97,40  ,24.25,161.66,0,0,0,
BL D'Oliveira (Wo),14,13,0,315,71  ,24.23,145.16,0,2,4,
LJ Evans (Sy),15,15,3,290,39  ,24.16,125.54,0,0,4,
JB Cracknell (Mx),14,14,1,314,68  ,24.15,122.65,0,1,4,
PR Stirling (Wk),13,13,0,313,119  ,24.07,174.86,1,1,1,
CP Wood (Ham),16,4,2,48,20*,24,114.28,0,0,0,
HWR Cartwright (Dy),2,2,0,48,38  ,24,150,0,0,0,
MS Crane (Ham),14,3,2,24,11  ,24,96,0,0,5,
JM de Caires (Mx),1,1,0,24,24  ,24,85.71,0,0,0,
RF Higgins (Gs),12,10,2,191,43  ,23.87,133.56,0,0,5,
JR Philippe (Sx),6,6,0,142,70  ,23.66,129.09,0,1,2,1
M Labuschagne (Gm),6,5,0,118,41  ,23.6,132.58,0,0,3,
DR Sams (Es),12,10,3,165,71  ,23.57,171.87,0,1,6,
DI Stevens (Kent),2,2,0,47,34  ,23.5,130.55,0,0,0,
G Clark (Dur),13,12,0,280,65  ,23.33,135.26,0,2,2,
KK Jennings (La),14,14,0,325,75  ,23.21,136.55,0,2,4,
LPJ Kimber (Le),3,3,1,46,30  ,23,219.04,0,0,3,
EJG Morgan (Mx),3,2,0,46,41  ,23,135.29,0,0,0,
AM Rossington (Es),14,14,0,317,95  ,22.64,148.82,0,1,5,2
RS Bopara (Sx),14,14,1,294,54*,22.61,120,0,2,7,
JLB Davies (Mx),10,10,1,202,47  ,22.44,104.12,0,0,1,
T Banton (Sm),16,16,0,359,73  ,22.43,129.13,0,2,17,
MDE Holden (Mx),14,14,0,314,58  ,22.42,131.93,0,1,8,
TG Helm (Mx),7,4,3,22,7*,22,110,0,0,1,
RI Keogh (Nr),14,9,2,153,36*,21.85,119.53,0,0,5,
JM Clarke (Nt),14,14,0,305,86  ,21.78,151.74,0,3,7,
CB Cooke (Gm),10,9,2,152,46  ,21.71,131.03,0,0,4,1
GHS Garton (Sx),8,8,2,128,37  ,21.33,164.1,0,0,1,
BWM Mike (Le),14,13,3,213,34  ,21.3,158.95,0,0,8,
DL Lloyd (Gm),12,11,1,213,68  ,21.3,142.95,0,2,0,
FH Allen (Yor),9,9,0,190,48  ,21.11,179.24,0,0,4,
BJ Curran (Nr),14,12,0,253,71  ,21.08,126.5,0,2,7,
RE van der Merwe (Sm),16,10,5,104,48*,20.8,170.49,0,0,9,
LWP Wells (La),12,10,2,166,42  ,20.75,125.75,0,0,5,
AGH Orr (Sx),8,8,0,166,41  ,20.75,161.16,0,0,3,
LBK Hollman (Mx),14,13,3,207,41  ,20.7,127.77,0,0,6,
AJ Turner (Dur),8,7,1,124,33  ,20.66,158.97,0,0,4,
JA Leaning (Kent),14,13,2,226,72*,20.54,127.68,0,1,6,
TW Hartley (La),17,9,7,41,19*,20.5,136.66,0,0,11,
HD Ward (Sx),13,13,3,204,33  ,20.4,129.93,0,0,5,
J Overton (Sy),12,9,1,162,48  ,20.25,186.2,0,0,7,
SP Narine (Sy),14,11,1,199,52  ,19.9,163.11,0,2,2,
LJ Wright (Sx),8,8,0,158,46  ,19.75,129.5,0,0,1,
SG Borthwick (Dur),10,6,2,79,26  ,19.75,108.21,0,0,5,
JA Thompson (Yor),15,11,4,138,50  ,19.71,138,0,1,5,
BD Guest (Dy),15,14,4,197,54  ,19.7,134.01,0,1,9,4
L Trevaskis (Dur),13,12,6,117,19*,19.5,158.1,0,0,9,
RJ Das (Es),2,2,0,38,23  ,19,140.74,0,0,0,
NL Buck (Nr),2,1,0,19,19  ,19,172.72,0,0,0,
CT Steel (Sy),1,1,0,19,19  ,19,135.71,0,0,3,
DMW Rawlins (Sx),14,14,2,226,34*,18.83,137.8,0,0,6,
OG Robinson (Dur),14,12,0,226,56  ,18.83,129.14,0,1,1,4
BGF Green (Sm),16,12,4,148,40  ,18.5,143.68,0,0,4,
LP Goldsworthy (Sm),9,3,1,37,27*,18.5,137.03,0,0,2,
HL Kerr (Dy),13,8,1,129,29  ,18.42,132.98,0,0,1,
TA Lammonby (Sm),16,13,1,221,34  ,18.41,139.87,0,0,13,
RM Yates (Wk),6,6,0,108,53  ,18,161.19,0,1,1,
WAR Fraine (Yor),8,8,3,90,32*,18,142.85,0,0,3,
ME Milnes (Kent),12,6,4,36,14*,18,128.57,0,0,0,
TK Curran (Sy),2,2,0,36,36  ,18,120,0,0,1,
GG White (Nr),13,4,3,18,14  ,18,120,0,0,10,
BA Raine (Dur),14,12,4,143,51*,17.87,133.64,0,1,3,
LJ Hill (Le),14,13,2,195,50  ,17.72,132.65,0,1,7,1
SJ Mullaney (Nt),14,12,1,193,79  ,17.54,138.84,0,1,9,
RK Patel (Le),14,14,1,228,57  ,17.53,121.92,0,1,4,
J Clark (Sy),5,3,1,35,17  ,17.5,102.94,0,0,2,
RP Jones (La),4,3,1,35,24  ,17.5,94.59,0,0,1,
RJ Gleeson (La),16,4,3,17,7  ,17,94.44,0,0,2,
MG Neser (Gm),10,2,1,17,11  ,17,121.42,0,0,7,
AL Davies (Wk),15,15,1,234,49  ,16.71,130.72,0,0,16,5
P Coughlin (Dur),14,11,0,182,42  ,16.54,126.38,0,0,4,
RA Whiteley (Ham),17,16,2,231,27  ,16.5,132,0,0,6,
JD Libby (Wo),10,9,0,148,33  ,16.44,110.44,0,0,2,
L Wood (La),14,7,4,49,22*,16.33,125.64,0,0,3,
KS Carlson (Gm),12,10,1,146,28  ,16.22,114.06,0,0,6,
PR Brown (Wo),13,8,6,32,9*,16,86.48,0,0,3,
LM Reece (Dy),15,15,0,234,55  ,15.6,132.2,0,1,9,
JL Smith (Sy),13,9,2,109,30  ,15.57,115.95,0,0,8,1
SR Patel (Nt),14,13,2,170,63  ,15.45,112.58,0,1,2,
MM Ali (Wo),7,7,0,107,31  ,15.28,125.88,0,0,3,
CR Brathwaite (Wk),15,12,4,122,28*,15.25,145.23,0,0,9,
EG Barnard (Wo),14,12,0,182,42  ,15.16,119.73,0,0,3,
P Sisodiya (Gm),14,4,3,15,9*,15,150,0,0,4,
JA Simpson (Mx),14,14,0,209,46  ,14.92,120.11,0,0,9,1
IA Cockbain (Gs),12,11,0,162,64  ,14.72,111.72,0,1,6,
SG Budinger (Nt),4,4,1,44,24  ,14.66,162.96,0,0,0,
MRJ Watt (Dy),15,6,3,43,17*,14.33,122.85,0,0,2,
Z Crawley (Kent),4,4,0,57,40  ,14.25,114,0,0,1,
HRC Came (Dy),6,5,0,71,23  ,14.2,154.34,0,0,2,
WJ Weighell (Gm),10,4,1,42,30  ,14,161.53,0,0,2,
DR Briggs (Wk),14,3,2,14,9*,14,100,0,0,4,
GFB Scott (Gs),1,1,0,14,14  ,14,100,0,0,0,
DG Bedingham (Dur),8,8,0,110,31  ,13.75,115.78,0,0,4,
JB Lintott (Wk),15,7,2,68,23*,13.6,98.55,0,0,7,
MAH Hammond (Gs),13,12,0,162,31  ,13.5,144.64,0,0,9,
TS Muyeye (Kent),6,6,0,81,41  ,13.5,119.11,0,0,5,
Shadab Khan (Yor),12,11,1,134,34  ,13.4,127.61,0,0,2,
LW James (Nt),3,3,0,40,20  ,13.33,111.11,0,0,0,
OB Cox (Wo),8,8,0,104,27  ,13,109.47,0,0,6,1
FJ Klaassen (Kent),13,5,4,13,6  ,13,118.18,0,0,5,
TS Mills (Sx),9,4,3,13,5*,13,81.25,0,0,3,
AL Hughes (Dy),10,7,2,64,16  ,12.8,120.75,0,0,2,
WEL Buttleman (Es),5,5,0,64,37  ,12.8,94.11,0,0,1,
L Gregory (Sm),16,13,2,140,60*,12.72,121.73,0,1,7,
CG Harrison (Nt),11,7,4,38,17  ,12.66,111.76,0,0,3,
AG Salter (Gm),9,3,0,38,24  ,12.66,135.71,0,0,4,
RI Walker (Le),4,4,2,25,19*,12.5,119.04,0,0,2,
C Overton (Sm),6,3,1,25,13  ,12.5,192.3,0,0,2,
TR Bevan (Gm),2,2,0,25,21  ,12.5,100,0,0,3,
SR Harmer (Es),14,11,4,86,29  ,12.28,156.36,0,0,11,
GH Roderick (Wo),7,6,2,49,31*,12.25,100,0,0,7,
MH McKiernan (Dy),15,9,3,72,26  ,12,156.52,0,0,8,
MW Parkinson (La),12,2,1,12,12*,12,150,0,0,2,
Naseem Shah (Gs),3,2,1,12,10*,12,133.33,0,0,0,
Rashid Khan (Sx),6,5,1,47,25*,11.75,123.68,0,0,4,
M Carter (Nt),12,6,3,35,14  ,11.66,102.94,0,0,1,
EJ Pollock (Wo),10,9,0,103,28  ,11.44,151.47,0,0,3,
BA Carse (Dur),11,11,0,124,25  ,11.27,124,0,0,3,
MK Andersson (Mx),12,11,3,90,25*,11.25,115.38,0,0,7,
G Stewart (Kent),11,9,3,67,23  ,11.16,167.5,0,0,1,
SJ Cook (Es),14,3,2,11,7*,11,110,0,0,6,
HD Rutherford (Le),8,8,0,86,35  ,10.75,88.65,0,0,4,
TAI Taylor (Nr),14,8,4,41,12*,10.25,107.89,0,0,6,
DJ Bravo (Wo),10,8,2,61,21  ,10.16,107.01,0,0,3,
JG Bethell (Wk),8,8,0,81,21  ,10.12,106.57,0,0,6,
DY Pennington (Wo),7,5,3,20,10*,10,111.11,0,0,3,
OP Stone (Wk),10,4,2,20,15*,10,105.26,0,0,7,
NT Ellis (Ham),13,11,8,29,7  ,9.66,85.29,0,0,4,
AM Hardie (Sy),3,3,0,29,15  ,9.66,138.09,0,0,1,
EJ Byrom (Gm),10,7,0,67,37  ,9.57,113.55,0,0,4,
TMJ Smith (Gs),12,5,1,37,14  ,9.25,102.77,0,0,6,
LA Dawson (Ham),17,12,2,90,20*,9,100,0,0,5,
ML Revis (Yor),16,7,3,36,12*,9,120,0,0,5,
HJH Brookes (Wk),7,5,2,27,21  ,9,158.82,0,0,1,
MT Stanley (Wo),6,3,2,9,7  ,9,81.81,0,0,0,
ML Kelly (Nr),3,1,0,9,9  ,9,112.5,0,0,0,
LJ Fletcher (Nt),10,3,0,26,22  ,8.66,136.84,0,0,2,
LD McManus (Nr),14,8,2,51,11  ,8.5,141.66,0,0,10,1
"MJ Waite (Wo,Yor)",8,7,1,51,35*,8.5,130.76,0,0,2,
PM Siddle (Sm),11,4,2,17,11*,8.5,106.25,0,0,1,
Qais Ahmad (Kent),14,9,2,59,24  ,8.42,137.2,0,0,2,
R Ahmed (Le),14,12,4,66,19*,8.25,110,0,0,5,
DJ Bell-Drummond (Kent),8,8,0,57,31  ,7.12,100,0,0,2,
WAT Beer (Sx),5,4,2,14,9*,7,116.66,0,0,0,
WS Davis (Le),5,3,2,7,5*,7,63.63,0,0,0,
LJ Hurt (La),1,1,0,7,7  ,7,70,0,0,0,
DJ Lamb (La),17,13,3,60,14  ,6,85.71,0,0,3,
TE Lawes (Sy),1,1,0,6,6  ,6,54.54,0,0,1,
AW Finch (Wo),1,1,0,6,6  ,6,60,0,0,0,
TN Walallawita (Mx),13,5,1,23,10  ,5.75,121.05,0,0,4,
ASS Nijjar (Es),10,5,2,17,8  ,5.66,100,0,0,0,
BMJ Allison (Es),13,4,2,11,6*,5.5,68.75,0,0,5,
AHT Donald (Ham),4,4,0,20,14  ,5,64.51,0,0,3,
JJ Bohannon (La),3,3,0,15,7  ,5,60,0,0,1,
D Paterson (Nt),5,3,2,5,3*,5,62.5,0,0,0,
CN Miles (Wk),14,5,2,14,6*,4.66,70,0,0,10,
Naveen-ul-Haq (Le),14,7,0,31,7  ,4.42,91.17,0,0,2,
DT Moriarty (Sy),8,4,1,13,6  ,4.33,72.22,0,0,1,
CF Parkinson (Le),14,8,4,16,4*,4,76.19,0,0,3,
C McKerr (Sy),3,3,1,8,4*,4,100,0,0,3,
JAR Harris (Gm),2,2,1,4,3  ,4,50,0,0,0,
DC Drakes (Yor),5,1,0,4,4  ,4,50,0,0,3,
FJ Heldreich (Nr),12,1,0,4,4  ,4,40,0,0,4,
JO Baker (Wo),8,6,2,14,5  ,3.5,56,0,0,4,
DM Bess (Yor),15,4,2,7,4*,3.5,58.33,0,0,2,
TS Roland-Jones (Mx),6,4,1,9,6*,3,64.28,0,0,3,
RJW Topley (Sy),10,3,2,3,2*,3,75,0,0,6,
AAP Atkinson (Sy),6,3,1,5,5  ,2.5,83.33,0,0,4,
DA Payne (Gs),9,4,1,6,4  ,2,54.54,0,0,2,
OC McCoy (Sx),5,4,1,6,2*,2,35.29,0,0,6,
HJ Swindells (Le),3,3,0,6,6  ,2,60,0,0,2,3
NMJ Reifer (Sy),2,2,0,4,4  ,2,100,0,0,0,
BW Sanderson (Nr),14,2,1,2,2  ,2,50,0,0,4,
GA Bartlett (Sm),1,1,0,2,2  ,2,50,0,0,0,
BW Aitchison (Dy),2,1,0,2,2  ,2,200,0,0,2,
NA Sowter (Dur),7,1,0,2,2  ,2,50,0,0,4,
S Conners (Dy),12,4,1,5,2  ,1.66,62.5,0,0,5,
OJ Carter (Sx),2,2,0,2,2  ,1,33.33,0,0,0,
Mohammad Aamer (Gs),5,2,1,1,1  ,1,33.33,0,0,1,
MG Hogan (Gm),11,2,1,1,1*,1,50,0,0,3,
AJ Horton (Gm),4,2,1,1,1*,1,16.66,0,0,0,1
JT Ball (Nt),8,1,0,1,1  ,1,25,0,0,0,
JA Brooks (Sm),5,1,0,1,1  ,1,33.33,0,0,1,
ST Finn (Sx),14,1,0,1,1  ,1,33.33,0,0,3,
BTJ Wheal (Ham),13,1,0,1,1  ,1,50,0,0,1,
M de Lange (Sm),5,1,0,0,0  ,0,0,0,0,1,
NRT Gubbins (Ham),1,1,0,0,0  ,0,0,0,0,0,
J Banton (Wo),1,1,0,0,0  ,0,0,0,0,0,
JH Davey (Sm),11,4,4,42,12*,,210,0,0,5,
JJ Bushnell (Dur),2,2,2,33,25*,,122.22,0,0,4,
PA van Meekeren (Gs),4,2,2,20,16*,,142.85,0,0,2,
S Snater (Es),2,2,2,17,11*,,170,0,0,0,
GCH Hill (Yor),4,1,1,15,15*,,100,0,0,3,
CAJ Morris (Wo),6,3,3,13,7*,,108.33,0,0,4,
"ZJ Chappell (Gs,Nt)",6,2,2,11,10*,,137.5,0,0,0,
JJG Sales (Nr),1,1,1,11,11*,,122.22,0,0,1,
JM Cooke (Gm),2,1,1,10,10*,,166.66,0,0,0,
GLS Scrimshaw (Dy),15,3,3,9,5*,,40.9,0,0,1,
AD Lenham (Sx),9,3,3,8,7*,,57.14,0,0,2,
AU Rashid (Yor),8,1,1,7,7*,,233.33,0,0,2,
MB Harris (Mx),2,1,1,7,7*,,140,0,0,0,
MD Taylor (Gs),2,1,1,7,7*,,350,0,0,0,
HT Crocombe (Sx),8,4,4,6,2*,,120,0,0,2,
AP Beard (Es),5,2,2,5,4*,,125,0,0,0,
Haris Rauf (Yor),4,1,1,5,5*,,125,0,0,1,
DJ Worrall (Sy),10,2,2,4,2*,,44.44,0,0,1,
AT Thomson (Dy),1,1,1,1,1*,,100,0,0,1,
MR Quinn (Kent),5,1,1,1,1*,,100,0,0,0,
DJ Leech (Yor),3,1,1,1,1*,,50,0,0,0,
J Singh (Kent),2,0,,,,,,,,0,
JP McIlroy (Gm),2,0,,,,,,,,0,
JDM Evison (Nt),1,0,,,,,,,,0,
AK Russell (Nr),1,0,,,,,,,,0,
GS Drissell (Dur),2,0,,,,,,,,0,
JW Shutt (Yor),2,0,,,,,,,,0,
TJ Price (Gs),1,0,,,,,,,,2,
J Shaw (Gs),7,0,,,,,,,,1,
JL Pattinson (Nt),2,0,,,,,,,,2,
SW Currie (Ham),3,0,,,,,,,,0,
TE Bailey (La),4,0,,,,,,,,0,
BC Cullen (Mx),3,0,,,,,,,,1,
TL Greatwood (Mx),2,0,,,,,,,,1,
