Name,Matches,Inns,Not Out,Runs,HS,Ave,SRate,100,50,Ct,St
CA Lynn (Nr),11,10,2,516,113*,64.5,159.25,2,4,0,
AJ Hose (Wk),15,14,4,557,110*,55.7,160.98,1,4,6,
DR Mousley (Wk),5,4,1,166,63*,55.33,178.49,0,2,1,
OJD Pope (Sy),3,3,1,110,62  ,55,135.8,0,1,1,
SA Northeast (Gm),14,13,3,510,97*,51,125.3,0,4,5,
KA Pollard (Sy),6,5,3,99,34  ,49.5,141.42,0,0,1,
JM Vince (Ham),16,16,2,678,129*,48.42,146.12,2,3,12,
RR Rossouw (Sm),16,16,3,623,93  ,47.92,192.28,0,7,11,
TL Seifert (Sx),4,4,1,139,100*,46.33,167.46,1,0,3,
Mohammad Rizwan (Sx),7,7,1,275,81*,45.83,143.97,0,3,7,1
Shan Masood (Dy),14,14,2,547,75  ,45.58,139.89,0,5,6,
PI Walter (Es),14,13,4,404,58*,44.88,152.45,0,3,9,
NR Welch (Le),5,5,1,173,46  ,43.25,158.71,0,0,1,
SR Hain (Wk),13,13,4,388,112*,43.11,161.66,1,2,5,
JDS Neesham (Nr),11,10,4,255,75*,42.5,173.46,0,2,6,
JC Buttler (La),1,1,0,42,42  ,42,144.82,0,0,0,
DJ Willey (Yor),9,8,2,246,75*,41,142.19,0,2,4,
HC Brook (Yor),13,12,1,436,77  ,39.63,163.9,0,4,9,
T Kohler-Cadmore (Yor),13,12,2,396,77  ,39.6,138.94,0,4,8,1
CG Benjamin (Wk),15,13,4,354,68*,39.33,163.13,0,2,6,
SJ Croft (La),17,17,3,548,76*,39.14,135.3,0,4,8,
WT Root (Gm),2,2,1,39,38*,39,134.48,0,0,1,
WL Madsen (Dy),15,15,2,499,100*,38.38,165.23,1,3,11,
JP Behrendorff (Mx),11,4,3,38,22*,38,131.03,0,0,5,
FJ Hudson-Prentice (Sx),3,3,1,75,49*,37.5,97.4,0,0,1,
MS Pepper (Es),14,14,2,439,86*,36.58,163.19,0,3,7,
BM Duckett (Nt),14,14,3,396,63  ,36,160.32,0,3,8,
DA Douthwaite (Gm),14,10,5,180,51*,36,183.67,0,1,5,
TP Alsop (Sx),10,10,1,318,82  ,35.33,152.88,0,2,4,
A Lyth (Yor),16,16,1,525,81  ,35,177.36,0,5,6,
SA Zaib (Nr),14,11,2,311,92  ,34.55,150.97,0,3,5,
